teams,url
Angers SCO (Team),https://datamb.football/Angers_SCO_Team_stats
Arouca (Team),https://datamb.football/Arouca_Team_stats
Arsenal (Team),https://datamb.football/Arsenal_Team_stats
Aston Villa (Team),https://datamb.football/Aston_Villa_Team_stats
Atalanta (Team),https://datamb.football/Atalanta_Team_stats
Athletic Club (Team),https://datamb.football/Athletic_Club_Team_stats
Atlético Madrid (Team),https://datamb.football/Atletico_Madrid_Team_stats
Augsburg (Team),https://datamb.football/Augsburg_Team_stats
Auxerre (Team),https://datamb.football/Auxerre_Team_stats
AVS  (Team),https://datamb.football/AVS_Team_stats
AZ (Team),https://datamb.football/AZ_Team_stats
Barcelona (Team),https://datamb.football/Barcelona_Team_stats
Bayer Leverkusen (Team),https://datamb.football/Bayer_Leverkusen_Team_stats
Bayern München (Team),https://datamb.football/Bayern_Munchen_Team_stats
Benfica (Team),https://datamb.football/Benfica_Team_stats
Bologna (Team),https://datamb.football/Bologna_Team_stats
Borussia Dortmund (Team),https://datamb.football/Borussia_Dortmund_Team_stats
Borussia Mgladbach (Team),https://datamb.football/Borussia_Mgladbach_Team_stats
Bournemouth (Team),https://datamb.football/Bournemouth_Team_stats
Brentford (Team),https://datamb.football/Brentford_Team_stats
Brest (Team),https://datamb.football/Brest_Team_stats
Brighton (Team),https://datamb.football/Brighton_Team_stats
Burnley (Team),https://datamb.football/Burnley_Team_stats
Cagliari (Team),https://datamb.football/Cagliari_Team_stats
Casa Pia AC (Team),https://datamb.football/Casa_Pia_AC_Team_stats
Celta de Vigo (Team),https://datamb.football/Celta_de_Vigo_Team_stats
Chelsea (Team),https://datamb.football/Chelsea_Team_stats
Como (Team),https://datamb.football/Como_Team_stats
Cremonese (Team),https://datamb.football/Cremonese_Team_stats
Crystal Palace (Team),https://datamb.football/Crystal_Palace_Team_stats
Deportivo Alavés (Team),https://datamb.football/Deportivo_Alaves_Team_stats
Eintracht Frankfurt (Team),https://datamb.football/Eintracht_Frankfurt_Team_stats
Elche (Team),https://datamb.football/Elche_Team_stats
Espanyol (Team),https://datamb.football/Espanyol_Team_stats
Estoril (Team),https://datamb.football/Estoril_Team_stats
Estrela Amadora (Team),https://datamb.football/Estrela_Amadora_Team_stats
Everton (Team),https://datamb.football/Everton_Team_stats
Excelsior (Team),https://datamb.football/Excelsior_Team_stats
Famalicão (Team),https://datamb.football/Famalic_o_Team_stats
Feyenoord (Team),https://datamb.football/Feyenoord_Team_stats
Fiorentina (Team),https://datamb.football/Fiorentina_Team_stats
Fortuna Sittard (Team),https://datamb.football/Fortuna_Sittard_Team_stats
Freiburg (Team),https://datamb.football/Freiburg_Team_stats
Fulham (Team),https://datamb.football/Fulham_Team_stats
Genoa (Team),https://datamb.football/Genoa_Team_stats
Getafe (Team),https://datamb.football/Getafe_Team_stats
Gil Vicente (Team),https://datamb.football/Gil_Vicente_Team_stats
Girona (Team),https://datamb.football/Girona_Team_stats
Go Ahead Eagles (Team),https://datamb.football/Go_Ahead_Eagles_Team_stats
Groningen (Team),https://datamb.football/Groningen_Team_stats
Hamburger SV (Team),https://datamb.football/Hamburger_SV_Team_stats
Heerenveen (Team),https://datamb.football/Heerenveen_Team_stats
Heidenheim (Team),https://datamb.football/Heidenheim_Team_stats
Hellas Verona (Team),https://datamb.football/Hellas_Verona_Team_stats
Heracles (Team),https://datamb.football/Heracles_Team_stats
Hoffenheim (Team),https://datamb.football/Hoffenheim_Team_stats
Internazionale (Team),https://datamb.football/Internazionale_Team_stats
Juventus (Team),https://datamb.football/Juventus_Team_stats
Köln (Team),https://datamb.football/Koln_Team_stats
Lazio (Team),https://datamb.football/Lazio_Team_stats
Le Havre (Team),https://datamb.football/Le_Havre_Team_stats
Lecce (Team),https://datamb.football/Lecce_Team_stats
Leeds United (Team),https://datamb.football/Leeds_United_Team_stats
Lens (Team),https://datamb.football/Lens_Team_stats
Levante (Team),https://datamb.football/Levante_Team_stats
Lille (Team),https://datamb.football/Lille_Team_stats
Liverpool (Team),https://datamb.football/Liverpool_Team_stats
Lorient (Team),https://datamb.football/Lorient_Team_stats
Mainz 05 (Team),https://datamb.football/Mainz_05_Team_stats
Mallorca (Team),https://datamb.football/Mallorca_Team_stats
Manchester City (Team),https://datamb.football/Manchester_City_Team_stats
Manchester United (Team),https://datamb.football/Manchester_United_Team_stats
Metz (Team),https://datamb.football/Metz_Team_stats
Milan (Team),https://datamb.football/Milan_Team_stats
Monaco (Team),https://datamb.football/Monaco_Team_stats
Moreirense (Team),https://datamb.football/Moreirense_Team_stats
NAC Breda (Team),https://datamb.football/NAC_Breda_Team_stats
Nacional (Team),https://datamb.football/Nacional_Team_stats
Nantes (Team),https://datamb.football/Nantes_Team_stats
Napoli (Team),https://datamb.football/Napoli_Team_stats
NEC (Team),https://datamb.football/NEC_Team_stats
Newcastle United (Team),https://datamb.football/Newcastle_United_Team_stats
Nice (Team),https://datamb.football/Nice_Team_stats
Nottingham Forest (Team),https://datamb.football/Nottingham_Forest_Team_stats
Olympique Lyonnais (Team),https://datamb.football/Olympique_Lyonnais_Team_stats
Olympique Marseille (Team),https://datamb.football/Olympique_Marseille_Team_stats
Osasuna (Team),https://datamb.football/Osasuna_Team_stats
Paris (Team),https://datamb.football/Paris_Team_stats
Parma (Team),https://datamb.football/Parma_Team_stats
PEC Zwolle (Team),https://datamb.football/PEC_Zwolle_Team_stats
Pisa (Team),https://datamb.football/Pisa_Team_stats
Porto (Team),https://datamb.football/Porto_Team_stats
PSG (Team),https://datamb.football/PSG_Team_stats
PSV (Team),https://datamb.football/PSV_Team_stats
Rayo Vallecano (Team),https://datamb.football/Rayo_Vallecano_Team_stats
RB Leipzig (Team),https://datamb.football/RB_Leipzig_Team_stats
Real Betis (Team),https://datamb.football/Real_Betis_Team_stats
Real Madrid (Team),https://datamb.football/Real_Madrid_Team_stats
Real Oviedo (Team),https://datamb.football/Real_Oviedo_Team_stats
Real Sociedad (Team),https://datamb.football/Real_Sociedad_Team_stats
Rennes (Team),https://datamb.football/Rennes_Team_stats
Rio Ave (Team),https://datamb.football/Rio_Ave_Team_stats
Roma (Team),https://datamb.football/Roma_Team_stats
Santa Clara (Team),https://datamb.football/Santa_Clara_Team_stats
Sassuolo (Team),https://datamb.football/Sassuolo_Team_stats
Sevilla (Team),https://datamb.football/Sevilla_Team_stats
Sparta Rotterdam (Team),https://datamb.football/Sparta_Rotterdam_Team_stats
Sporting Braga (Team),https://datamb.football/Sporting_Braga_Team_stats
Sporting CP (Team),https://datamb.football/Sporting_CP_Team_stats
St. Pauli (Team),https://datamb.football/St_Pauli_Team_stats
Strasbourg (Team),https://datamb.football/Strasbourg_Team_stats
Stuttgart (Team),https://datamb.football/Stuttgart_Team_stats
Sunderland (Team),https://datamb.football/Sunderland_Team_stats
Telstar (Team),https://datamb.football/Telstar_Team_stats
Tondela (Team),https://datamb.football/Tondela_Team_stats
Torino (Team),https://datamb.football/Torino_Team_stats
Tottenham Hotspur (Team),https://datamb.football/Tottenham_Hotspur_Team_stats
Toulouse (Team),https://datamb.football/Toulouse_Team_stats
Twente (Team),https://datamb.football/Twente_Team_stats
Udinese (Team),https://datamb.football/Udinese_Team_stats
Union Berlin (Team),https://datamb.football/Union_Berlin_Team_stats
Utrecht (Team),https://datamb.football/Utrecht_Team_stats
Valencia (Team),https://datamb.football/Valencia_Team_stats
Villarreal (Team),https://datamb.football/Villarreal_Team_stats
Vitória Guimarães (Team),https://datamb.football/Vitoria_Guimar_es_Team_stats
Volendam (Team),https://datamb.football/Volendam_Team_stats
Werder Bremen (Team),https://datamb.football/Werder_Bremen_Team_stats
West Ham United (Team),https://datamb.football/West_Ham_United_Team_stats
Wolfsburg (Team),https://datamb.football/Wolfsburg_Team_stats
Wolverhampton (Team),https://datamb.football/Wolverhampton_Team_stats
